detection_id,symbol,reason,tier,pivot_dist,target_new,target_legacy,target_code,breakout_price
bump_and_run_reversal_bottoms:000063,AMD,ok,premium,29.0,7.3,4.94,4.94,3.36
bump_and_run_reversal_bottoms:000064,AME,cut_by_search_cap,data_limited,,,7.8,7.8,6.6
bump_and_run_reversal_bottoms:000065,AME,ok,standard,20.0,17.2,13.2,13.2,10.8
bump_and_run_reversal_bottoms:000066,AMS,ok,standard,23.0,7.61,7.28,7.28,6.53
bump_and_run_reversal_bottoms:000067,AMS,ok,standard,6.0,9.71,9.71,9.71,6.7
bump_and_run_reversal_bottoms:000068,AMS,ok,standard,25.0,10.0,10.0,10.0,7.5
bump_and_run_reversal_bottoms:000069,AMV,ok,standard,28.0,7.89,6.95,6.95,5.97
bump_and_run_reversal_bottoms:000070,AMV,ok,standard,29.0,16.18,15.12,15.12,12.83
bump_and_run_reversal_bottoms:000071,AMV,ok,standard,55.0,16.18,14.1,14.1,11.89
bump_and_run_reversal_bottoms:000072,AMV,ok,premium,28.0,13.98,13.09,13.09,8.79
bump_and_run_reversal_bottoms:000073,ANT,no_pivot_before_lead_start,data_limited,,,7.09,7.09,6.15
bump_and_run_reversal_bottoms:000074,ANT,ok,standard,19.0,40.1,39.12,39.12,30.32
bump_and_run_reversal_bottoms:000075,ANV,ok,standard,17.0,1.76,1.66,1.66,1.42
bump_and_run_reversal_bottoms:000076,ANV,ok,standard,31.0,1.57,1.52,1.52,1.21
bump_and_run_reversal_bottoms:000077,ANV,ok,premium,71.0,12.69,10.65,10.65,7.74
bump_and_run_reversal_bottoms:000078,ANV,ok,premium,17.0,20.67,18.54,18.54,15.34
bump_and_run_reversal_bottoms:000079,APC,ok,premium,29.0,12.65,11.8,11.8,9.73
bump_and_run_reversal_bottoms:000080,APC,ok,data_limited,72.0,9.9,7.5,7.5,6.5
bump_and_run_reversal_bottoms:000081,APC,no_pivot_fits_lead_in,standard,,,9.1,9.1,7.3
bump_and_run_reversal_bottoms:000082,APF,no_pivot_fits_lead_in,standard,,,47.82,47.82,40.46
bump_and_run_reversal_bottoms:000083,APG,ok,data_limited,65.0,2.57,2.24,2.24,2.13
bump_and_run_reversal_bottoms:000084,APG,ok,data_limited,13.0,3.5,3.5,3.5,2.3
bump_and_run_reversal_bottoms:000085,APG,ok,standard,29.0,3.58,3.46,3.46,3.05
bump_and_run_reversal_bottoms:000086,APG,ok,premium,12.0,15.5,15.05,15.05,11.75
bump_and_run_reversal_bottoms:000087,API,ok,standard,2.0,14.87,14.87,14.87,12.94
bump_and_run_reversal_bottoms:000088,API,ok,premium,52.0,9.6,8.8,8.8,7.2
bump_and_run_reversal_bottoms:000089,API,no_pivot_fits_lead_in,standard,,,11.0,11.0,7.4
bump_and_run_reversal_bottoms:000090,APP,ok,standard,36.0,7.9,6.3,6.3,5.5
bump_and_run_reversal_bottoms:000091,APS,ok,standard,85.0,6.52,4.66,4.66,4.0
bump_and_run_reversal_bottoms:000092,APS,cut_by_search_cap,standard,,,8.1,8.1,6.8
bump_and_run_reversal_bottoms:000093,APS,ok,standard,35.0,8.8,8.0,8.0,6.3
bump_and_run_reversal_bottoms:000094,ARM,ok,data_limited,14.0,12.65,12.2,12.2,10.84
bump_and_run_reversal_bottoms:000095,ASG,ok,data_limited,38.0,26.36,25.05,25.05,22.82
bump_and_run_reversal_bottoms:000096,ASM,no_pivot_fits_lead_in,standard,,,4.11,4.11,3.38
bump_and_run_reversal_bottoms:000097,ASM,ok,premium,61.0,4.22,3.91,3.91,3.17
bump_and_run_reversal_bottoms:000098,ASM,ok,premium,2.0,8.23,8.23,8.23,6.79
bump_and_run_reversal_bottoms:000099,ASP,no_pivot_fits_lead_in,data_limited,,,5.31,5.31,4.94
bump_and_run_reversal_bottoms:000100,ASP,ok,standard,27.0,6.8,6.45,6.45,5.12
bump_and_run_reversal_bottoms:000101,ASP,ok,standard,30.0,5.25,5.08,5.08,4.6
bump_and_run_reversal_bottoms:000102,ASP,ok,standard,7.0,5.05,4.95,4.95,4.22
bump_and_run_reversal_bottoms:000103,AST,ok,premium,95.0,64.45,43.28,43.28,33.77
bump_and_run_reversal_bottoms:000104,ATA,ok,data_limited,65.0,2.0,1.3,1.3,1.0
bump_and_run_reversal_bottoms:000105,ATS,no_pivot_fits_lead_in,data_limited,,,36.6,36.6,25.5
bump_and_run_reversal_bottoms:000106,AVC,ok,standard,10.0,62.64,62.64,62.64,51.74
bump_and_run_reversal_bottoms:000107,BAB,ok,standard,3.0,12.95,12.95,12.95,9.97
bump_and_run_reversal_bottoms:000108,BAX,no_pivot_fits_lead_in,standard,,,29.29,29.29,24.14
